2020-02-23T00:00:00,raccoon,9
2020-02-23T01:00:00,bear,84
2020-02-23T02:00:00,eagle,53
2020-02-23T03:00:00,peacock,95
2020-02-23T04:00:00,gopher,22
2020-02-23T05:00:00,raccoon,32
2020-02-23T06:00:00,cat,55
2020-02-23T07:00:00,hedgehog,54
2020-02-23T08:00:00,hedgehog,11
2020-02-23T09:00:00,fox,49
2020-02-23T10:00:00,hedgehog,5
2020-02-23T11:00:00,quail,4
2020-02-23T12:00:00,quail,8
2020-02-23T13:00:00,anteater,89
2020-02-23T14:00:00,deer,10
2020-02-23T15:00:00,newt,39
2020-02-23T16:00:00,gopher,90
2020-02-23T17:00:00,newt,24
2020-02-23T18:00:00,raccoon,71
2020-02-23T19:00:00,urchin,13
2020-02-23T20:00:00,peacock,86
2020-02-23T21:00:00,vulture,19
2020-02-23T22:00:00,rabbit,63
2020-02-23T23:00:00,bear,46
