2020-02-18T00:00:00,eagle,79
2020-02-18T01:00:00,fox,14
2020-02-18T02:00:00,vulture,51
2020-02-18T03:00:00,urchin,65
2020-02-18T04:00:00,peacock,49
2020-02-18T05:00:00,gopher,2
2020-02-18T06:00:00,fox,51
2020-02-18T07:00:00,termite,0
2020-02-18T08:00:00,yak,80
2020-02-18T09:00:00,deer,39
2020-02-18T10:00:00,impala,77
2020-02-18T11:00:00,impala,23
2020-02-18T12:00:00,rabbit,57
2020-02-18T13:00:00,wombat,42
2020-02-18T14:00:00,termite,45
2020-02-18T15:00:00,deer,59
2020-02-18T16:00:00,gopher,23
2020-02-18T17:00:00,eagle,1
2020-02-18T18:00:00,termite,82
2020-02-18T19:00:00,newt,40
2020-02-18T20:00:00,urchin,82
2020-02-18T21:00:00,fox,97
2020-02-18T22:00:00,fox,13
2020-02-18T23:00:00,deer,67
