2020-02-17T00:00:00,vulture,96
2020-02-17T01:00:00,kangaroo,15
2020-02-17T02:00:00,fox,78
2020-02-17T03:00:00,rabbit,48
2020-02-17T04:00:00,snake,9
2020-02-17T05:00:00,xantus,3
2020-02-17T06:00:00,kangaroo,80
2020-02-17T07:00:00,deer,0
2020-02-17T08:00:00,rabbit,27
2020-02-17T09:00:00,gopher,23
2020-02-17T10:00:00,kangaroo,47
2020-02-17T11:00:00,hedgehog,31
2020-02-17T12:00:00,fox,47
2020-02-17T13:00:00,hedgehog,3
2020-02-17T14:00:00,vulture,44
2020-02-17T15:00:00,jaguar,22
2020-02-17T16:00:00,gopher,42
2020-02-17T17:00:00,lizard,43
2020-02-17T18:00:00,kangaroo,91
2020-02-17T19:00:00,wombat,51
2020-02-17T20:00:00,kangaroo,16
2020-02-17T21:00:00,raccoon,23
2020-02-17T22:00:00,gopher,71
2020-02-17T23:00:00,peacock,43
