2020-02-01T00:00:00,deer,8
2020-02-01T01:00:00,kangaroo,88
2020-02-01T02:00:00,peacock,17
2020-02-01T03:00:00,vulture,94
2020-02-01T04:00:00,jaguar,56
2020-02-01T05:00:00,ocelot,74
2020-02-01T06:00:00,kangaroo,43
2020-02-01T07:00:00,fox,12
2020-02-01T08:00:00,impala,71
2020-02-01T09:00:00,macaw,11
2020-02-01T10:00:00,eagle,2
2020-02-01T11:00:00,impala,64
2020-02-01T12:00:00,impala,53
2020-02-01T13:00:00,eagle,46
2020-02-01T14:00:00,newt,32
2020-02-01T15:00:00,rabbit,90
2020-02-01T16:00:00,ocelot,63
2020-02-01T17:00:00,lizard,0
2020-02-01T18:00:00,anteater,83
2020-02-01T19:00:00,deer,9
2020-02-01T20:00:00,kangaroo,79
2020-02-01T21:00:00,cat,18
2020-02-01T22:00:00,newt,92
2020-02-01T23:00:00,newt,66
